SampleID,Assay,NPX,pg/mL,Group
S12,ITGAM,10.10017,9147.09,Healthy_pool
S12,MMP10,11.64451,292.77107,Healthy_pool
S12,SNCAIP,1.50889,1.71805,Healthy_pool
S12,TREM2,15.16024,17572.97081,Healthy_pool
S12,Det Ctrl,0.06115,,Healthy_pool
S12,ITGB2,11.10384,48450.76638,Healthy_pool
S12,SMOC1,4.82046,994.63538,Healthy_pool
S12,BACE1,6.19826,492.34204,Healthy_pool
S12,SCG2,6.61297,1860.02852,Healthy_pool
S12,BMP7,5.33473,2966.14951,Healthy_pool
S12,NPTX1,8.06288,7286.83107,Healthy_pool
S12,HLA-DRA,3.07813,554.66489,Healthy_pool
S12,EIF2AK2,8.06839,26485.35337,Healthy_pool
S12,LRRK2,-0.7814,117.05837,Healthy_pool
S12,Ext Ctrl,0,,Healthy_pool
