RIC_Olink_1,RIC_Olink_2,RIC_Olink_3
9.08191,8.70331,8.26807
-0.13122,-0.02466,0.02671
14.08013,13.7191,13.47482
1.5706,0.5945,1.50466
6.43888,5.87223,5.81373
9.21779,9.09932,8.66634
3.16476,2.20599,2.1914
11.18555,10.74962,10.42708
10.17044,9.72245,9.67745
11.30312,10.88037,10.6368
2.38664,1.92168,1.03159
15.17195,14.58636,14.6351
-0.09938,0.04106,-0.00856
10.66911,10.65771,10.41103
4.6758,4.28397,3.86928
6.48485,6.27282,5.69647
6.66911,6.34965,6.23044
5.27583,5.13808,4.58109
7.82027,7.57985,7.63871
2.41956,,2.4206
8.25683,7.76314,7.60192
-0.52255,1.37039,-0.39939
0,0,0
6.93807,6.82279,6.7763
3.54334,3.68477,3.08939
0.91597,,0.62924
4.03586,2.6077,2.35316
12.76771,12.67911,12.40389
2.4998,2.29468,1.32043
,2.19133,2.04502
2.08099,2.20953,1.97313
4.26216,,3.08675
8.02832,7.47533,7.45633
0.36678,0.18072,-0.06965
4.46247,3.93648,3.80807
,1.63466,
-0.01238,,0.29466
1.89349,1.55839,1.15517
8.72146,8.45712,8.25817
8.6942,8.56295,8.30076
3.82882,2.95319,
6.52714,5.62398,
4.59447,3.6884,
12.30078,11.48983,
3.85798,3.3065,
9.40631,8.7145,
-0.09693,0.12384,
14.36828,13.66935,
1.28173,0.71379,
6.72029,5.78453,
9.50444,9.0975,
2.86613,3.01249,
11.40308,10.69337,
10.23293,9.73812,
11.51117,10.86472,
2.27583,1.88421,
15.35618,14.49879,
-0.11334,0.03119,
10.83044,10.57853,
4.24949,4.25288,
6.80212,6.275,
6.81288,6.2237,
5.32863,4.82597,
8.01949,7.44588,
3.1047,,
8.46558,7.79018,
-0.27561,-0.42418,
0,0,
7.34612,6.936,
4.02449,3.47909,
1.10309,,
3.78465,2.52044,
13.0556,12.58888,
2.12199,1.67991,
,2.35745,
2.79024,2.23588,
4.65964,,
8.10148,7.40171,
0.68867,0.63313,
4.65948,3.8974,
,1.30273,
0.29707,,
1.75472,1.63298,
8.9921,8.35687,
8.9429,8.43415,
3.53652,3.18772,3.64453
6.1288,5.97778,6.30906
4.18127,3.52827,3.94794
11.89313,11.68991,11.92391
3.705,3.47972,3.71019
9.14235,8.96443,9.36856
-0.16123,0.02368,-0.07209
14.13617,13.87859,14.15549
0.7255,1.6831,1.00587
6.40212,6.01009,6.48585
9.32884,9.33008,9.48616
3.02518,2.43736,2.87134
11.17801,10.8223,11.20545
10.04871,9.78607,10.09725
11.31733,11.09123,11.46977
2.26607,2.08782,2.5814
15.09332,14.55098,15.49087
-0.17047,-0.00533,0.07272
10.73955,10.78318,10.88471
4.58913,4.74363,4.95979
6.37756,6.60815,6.53145
6.69342,6.40119,6.78229
5.29538,5.04768,5.45364
7.94096,7.71316,8.24131
2.28676,,2.6295
8.2459,7.94205,8.32478
-0.22851,0.16401,0.64837
0,0,0
7.13772,6.92246,7.26563
3.76802,3.5664,3.90312
1.38791,,1.5172
3.88581,3.64493,3.31915
12.96789,12.8783,13.00332
2.8378,2.26939,2.55068
,3.006,2.54694
2.08564,1.45349,2.98774
4.21871,,4.06384
7.9674,7.51029,8.25254
0.44777,0.34382,0.58665
4.48942,4.08514,4.61308
,2.18046,
0.75563,,0.88406
0.90916,2.05537,1.95968
9.00315,8.68111,9.01424
8.82858,8.74627,9.06314
3.46848,3.07618,3.68381
6.04309,5.78395,6.27118
4.15474,3.22908,4.38399
11.92519,11.60598,11.81728
3.49458,3.50132,3.63662
9.09344,8.88298,9.3657
-0.141,-0.07017,0.03117
14.17451,13.96607,14.20886
1.82068,0.2909,0.112
6.50673,6.13673,6.52753
9.27433,9.27677,9.56643
2.80379,2.47531,2.87211
11.24286,11.02645,11.186
10.09363,9.83142,10.16381
11.30523,11.08752,11.4674
2.48909,1.78884,2.08007
15.22231,14.7236,15.47782
-0.08385,-0.01535,0.01696
10.70532,10.72339,10.93411
4.74051,4.22222,4.76792
6.54339,6.54958,6.52922
6.68372,6.48891,6.78731
5.47111,5.23787,5.34591
7.85797,7.69132,8.15625
2.6191,,2.62327
8.36773,7.96833,8.29303
1.41842,1.16539,-0.80919
0,0,0
6.9383,7.00984,7.43505
4.02564,3.82453,3.73305
1.67358,,1.53945
4.19574,3.19845,4.08545
12.93715,12.803,12.96001
1.98132,2.48549,2.58611
,2.21424,2.57161
2.25193,2.06309,1.17717
4.32017,,3.98834
8.68956,7.54351,8.28007
0.31986,0.26756,0.49537
4.56117,4.10646,4.62704
,0.39156,
0.27956,,0.40022
1.93227,1.97036,1.58687
9.01851,8.71689,9.10071
8.91381,8.79197,9.14537
3.22331,3.09604,3.40692
5.96574,5.83532,5.94921
3.40894,3.175,4.15016
11.73006,11.62576,11.57539
3.41133,3.40223,3.69326
8.96807,8.87692,9.08992
-0.24299,-0.0863,-0.02177
14.06983,13.96359,14.02151
,1.248,1.23692
6.4948,5.90698,6.26264
9.20294,9.3055,9.31897
2.92965,2.53448,3.13593
11.17849,11.02368,11.05815
10.09776,9.81776,10.09432
11.2813,11.10549,11.2383
2.42556,2.02653,2.43801
15.23263,14.85258,15.36867
-0.14102,0.01398,-0.00087
10.69833,10.72542,10.83918
4.40748,4.51955,4.60776
6.21359,6.61548,6.15604
6.65277,6.51382,6.66964
5.09334,4.98788,4.97556
7.82801,7.73966,8.04599
2.71411,,2.57577
8.25213,7.96495,8.22737
1.21345,-2.29517,0.61952
0,0,0
6.9744,7.13396,7.23139
3.04843,3.73857,3.5406
1.17064,,1.06874
3.41531,3.3423,3.20802
12.87398,12.92454,12.79934
2.18866,2.18739,2.56443
,1.9176,2.43776
0.26251,1.58894,2.39469
4.27389,,3.83246
7.96109,7.64124,8.17184
0.28276,0.31749,0.46429
4.58886,4.29773,4.37628
,2.29667,
0.35479,,0.60651
1.5468,1.62362,1.89989
8.86136,8.77929,8.93218
8.62756,8.88987,8.95794
3.38468,3.145,3.22991
6.01029,5.89781,5.82452
3.93989,3.98204,3.81277
11.84613,11.68617,11.46574
3.38713,3.61356,3.40601
9.13368,9.05857,8.94613
-0.07442,-0.02592,-0.10307
14.19719,14.04872,13.88769
1.43893,0.73967,0.82634
6.55562,6.11423,6.1045
9.35122,9.39731,9.11829
3.15256,2.55922,2.66165
11.30863,11.10901,10.95963
10.16402,9.88273,9.93398
11.33471,11.11311,11.0918
2.15403,2.34539,2.41108
15.29758,14.87608,15.14755
-0.02216,0.05305,-0.03622
10.76462,10.78858,10.78903
4.79007,4.60424,4.74572
6.3947,6.63595,6.04429
6.66375,6.54626,6.48202
5.19421,5.02695,4.92963
7.90757,7.72904,7.87359
3.11719,,2.58214
8.31084,7.97897,7.91225
1.1287,1.40176,0.93482
0,0,0
