SampleID,Assay,NPX_Run1,NPX_Run2,NPX_Run3,pg/mL_Run1,pg/mL_Run2,pg/mL_Run3
Sample_5,SDC4,7.12178,6.9736,,6129.13693,5566.42844,
Sample_5,NEFL,3.93126,3.40864,,503.45199,347.04162,
Sample_5,GDNF,0.928,,,0.01029,,
Sample_5,CLSTN3,3.76503,3.51191,,400.83274,344.91743,
Sample_5,AGER,12.97348,12.87133,,1831.58298,1705.52114,
Sample_5,TP53,3.33198,2.45803,,0.65564,0.32001,
Sample_5,Abeta40,,2.35891,,,3.542,
Sample_5,pTau217,1.49616,2.47435,,0.07798,0.20173,
Sample_5,GFAP,4.47024,,,20.63389,,
Sample_5,GLRX,7.97468,7.44462,,482.55979,342.14218,
Sample_5,WWOX,0.32301,0.20915,,0.21703,0.12269,
Sample_5,RTN4R,4.62464,4.16028,,576.24875,435.07088,
Sample_5,Abeta42,,0.81499,,,3.586,
Sample_5,NGF,-0.27313,,,,,
Sample_5,NLGN1,1.59344,2.013,,69.24734,112.80146,
Sample_5,NPTX2,8.90619,8.76181,,7653.37874,6979.50437,
Sample_5,MOG,8.71745,8.84278,,30.82017,33.36436,
Sample_6,VSNL1,3.44763,2.91283,3.60005,32.35845,21.55482,36.22359
Sample_6,OMG,6.15169,5.63867,6.2479,98.70174,73.5197,104.21987
Sample_6,STX1B,4.49781,3.72378,4.16148,129.5871,73.45491,101.92228
Sample_6,NPTXR,12.05964,11.45774,11.79014,2040.67814,1326.06992,1679.45585
Sample_6,SYT1,3.65766,3.2531,3.7999,16.698,12.45454,18.43854
Sample_6,ENO2,9.17172,8.60274,9.30355,6618.42071,4617.58669,7202.46316
Sample_6,Inc Ctrl,-0.02723,-0.01478,-0.11258,,,
Sample_6,TREM1,14.29007,13.70438,14.20127,267.03039,174.43889,250.20142
Sample_6,S100B,1.41765,-0.51504,0.47942,7.28222,,1.53335
Sample_6,DDAH1,6.6411,5.90825,6.4891,560.48616,357.91323,511.05344
Sample_6,KLK8,9.43719,9.04203,9.48855,1859.99078,1432.71764,1925.07502
Sample_6,FOXO3,3.0396,2.63832,2.736,33.49899,24.13056,26.19873
Sample_6,DDC,11.35869,10.74116,11.19626,2032.64258,1387.78778,1837.5788
